january,february,march,april,may,june,july,august,september,october,november,december
-10,4,12,19,18,19,28,32,23,24,2,-1
-15,2,10,9,20,22,29,34,25,22,2,0
-15,5,9,12,21,23,30,28,27,24,9,-2
-13,3,8,15,20,25,30,27,29,23,7,-4
-12,2,6,18,23,26,25,28,30,19,8,-5
-7,2,4,19,18,23,26,34,31,15,10,-2
-2,3,10,23,15,18,21,36,25,16,17,-3
1,2,14,24,21,18,23,26,27,14,11,1
-1,2,14,24,22,22,25,29,24,14,12,4
1,6,12,23,23,24,25,32,27,10,12,5
-2,3,11,21,20,18,27,32,26,13,3,4
5,5,12,22,21,19,30,22,28,10,9,4
5,4,7,23,23,19,32,16,29,6,5,-4
4,10,6,21,16,27,34,16,22,10,5,-2
1,8,5,18,19,26,36,24,18,8,1,-2
2,12,8,17,20,25,36,21,22,8,1,-6
-1,5,4,24,22,29,36,27,21,9,1,-5
-6,4,9,26,19,30,35,30,18,7,4,-1
-4,0,4,18,16,27,24,29,19,7,4,0
-4,1,3,13,19,29,24,30,13,6,3,0
-4,3,3,10,21,31,24,31,15,7,5,-3
-6,7,10,17,23,31,20,34,14,10,-1,0
-12,8,7,17,22,30,26,34,15,8,2,-2
-13,9,6,19,22,29,27,29,16,7,-3,0
-12,6,2,21,25,30,28,20,17,6,-0,-1
-7,6,5,18,26,30,30,24,13,7,1,1
-1,5,5,14,24,32,30,25,16,3,4,2
3,5,3,18,25,32,32,31,14,6,4,2
4,9,11,22,24,29,33,32,15,7,1,1
4,,11,20,25,26,33,33,20,7,-6,0
3,,13,,25,,31,23,,4,,-0
